Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)
0.6684073697	27.9006080627	-1.0895086527
0.6684652553	27.9649791718	-1.0910615921
0.6685231275	28.0218982697	-1.0924254656
0.6685809779	28.0852317810	-1.0939329863
0.6686388773	28.1030101776	-1.0943542719
0.6686967228	28.1016407013	-1.0943218470
0.6687545969	28.1302452087	-1.0949980021
0.6688124560	28.2060375214	-1.0967792273
0.6688703449	28.2889709473	-1.0987111330
0.6689282099	28.3623466492	-1.1004055738
0.6689860775	28.4167957306	-1.1016540527
0.6690439356	28.4610462189	-1.1026631594
0.6691018085	28.4877929688	-1.1032706499
0.6691596851	28.5178451538	-1.1039510965
0.6692175591	28.5539569855	-1.1047657728
0.6692754315	28.5800132751	-1.1053515673
0.6693332855	28.6260604858	-1.1063826084
0.6693911699	28.6749839783	-1.1074723005
0.6694490397	28.7259883881	-1.1086020470
0.6695069061	28.7774372101	-1.1097351313
0.6695647758	28.8221626282	-1.1107149124
0.6696226338	28.8682136536	-1.1117186546
0.6696805224	28.9102649689	-1.1126307249
0.6697383890	28.9452762604	-1.1133868694
0.6697962634	28.9804744720	-1.1141440868
0.6698541155	29.0040302277	-1.1146491766
0.6699119875	29.0335884094	-1.1152811050
0.6699698569	29.0693645477	-1.1160432100
0.6700277351	29.1181964874	-1.1170785427
0.6700856006	29.1521396637	-1.1177948713
0.6701434659	29.1984100342	-1.1187670231
0.6702013521	29.2243576050	-1.1193100214
0.6702592088	29.2288894653	-1.1194046736
0.6703170853	29.2155933380	-1.1191267967
0.6703749497	29.1975402832	-1.1187487841
0.6704328227	29.2210617065	-1.1192411184
0.6704906895	29.2629261017	-1.1201142073
0.6705485653	29.3600807190	-1.1221247911
0.6706064372	29.4370632172	-1.1237025261
0.6706642977	29.4891910553	-1.1247632504
0.6707221788	29.5374221802	-1.1257392168
0.6707800443	29.5871391296	-1.1267397404
0.6708379241	29.6315765381	-1.1276293993
0.6708957949	29.6775989532	-1.1285461187
0.6709536549	29.7066478729	-1.1291223764
0.6710115203	29.7477149963	-1.1299338341
0.6710693878	29.7716693878	-1.1304054260
0.6711272582	29.7937545776	-1.1308391094
0.6711851517	29.8360157013	-1.1316660643
0.6712430031	29.8728828430	-1.1323843002
0.6713008815	29.8905353546	-1.1327271461
0.6713587574	29.9314231873	-1.1335186958
0.6714166125	29.9513301849	-1.1339027882
0.6714744911	29.9532852173	-1.1339404583
0.6715323645	29.9453010559	-1.1337865591
0.6715902290	29.9720382690	-1.1343014240
0.6716481054	30.0201568604	-1.1352242231
0.6717059807	30.0619087219	-1.1360208988
0.6717638416	30.1280212402	-1.1372748613
0.6718217139	30.1911544800	-1.1384637356
0.6718795768	30.2175827026	-1.1389589310
0.6719374348	30.2447643280	-1.1394667625
