Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)
0.5898780649	0.0285856742	3.5265212059
0.5899359383	0.0279285721	3.5268745422
0.5899938054	0.0276856069	3.5270051956
0.5900516886	0.0274541769	3.5271296501
0.5901095596	0.0272506811	3.5272390842
0.5901674473	0.0264425091	3.5276737213
0.5902252998	0.0254079085	3.5282301903
0.5902831691	0.0252651833	3.5283069611
0.5903410267	0.0254757255	3.5281937122
0.5903989051	0.0244314857	3.5287554264
0.5904567794	0.0241247956	3.5289204121
0.5905146420	0.0234440900	3.5292866230
0.5905725266	0.0225662496	3.5297589302
0.5906303937	0.0226690508	3.5297036171
0.5906882477	0.0226752535	3.5297002792
0.5907461176	0.0215032939	3.5303308964
0.5908040031	0.0209743008	3.5306155682
0.5908618642	0.0209144931	3.5306477547
0.5909197441	0.0205233078	3.5308582783
0.5909776099	0.0200311411	3.5311231613
0.5910354638	0.0195314679	3.5313920975
0.5910933374	0.0192045718	3.5315680504
0.5911512072	0.0190761182	3.5316371918
0.5912090863	0.0187279768	3.5318245888
0.5912669621	0.0183709916	3.5320167542
0.5913248338	0.0182996839	3.5320551395
0.5913827077	0.0181929469	3.5321125984
0.5914405720	0.0181065835	3.5321590900
0.5914984512	0.0176451057	3.5324075222
0.5915563020	0.0173687618	3.5325562954
0.5916141619	0.0172708910	3.5326089859
0.5916720324	0.0171061531	3.5326976776
0.5917298977	0.0168484244	3.5328364372
0.5917877533	0.0168971363	3.5328102112
0.5918456241	0.0165025834	3.5330226421
0.5919035226	0.0163391884	3.5331106186
0.5919613760	0.0162094496	3.5331804752
0.5920192434	0.0158676170	3.5333645344
0.5920771019	0.0153765902	3.5336289406
0.5921349692	0.0151308645	3.5337612629
0.5921928496	0.0152154285	3.5337157249
0.5922507288	0.0147833191	3.5339484215
0.5923085715	0.0147115979	3.5339870453
0.5923664409	0.0143357348	3.5341894627
0.5924243256	0.0143596409	3.5341765881
0.5924821837	0.0138651542	3.5344429016
0.5925400513	0.0137859154	3.5344855785
0.5925979311	0.0137332371	3.5345139503
0.5926557988	0.0135707771	3.5346014500
0.5927136547	0.0134941963	3.5346426964
0.5927715476	0.0131679606	3.5348184109
0.5928294029	0.0131267952	3.5348405838
0.5928872554	0.0130373817	3.5348887444
0.5929451367	0.0130701372	3.5348711014
0.5930029955	0.0129488539	3.5349364281
0.5930608601	0.0128705082	3.5349786282
0.5931187479	0.0127293104	3.5350546837
0.5931766048	0.0126465401	3.5350992680
0.5932344887	0.0126053765	3.5351214409
0.5932923577	0.0125553608	3.5351483822
0.5933502161	0.0124951657	3.5351808071
